NUTS_ID,gdp_rank,promethee_rank,regional_innovation_index
UKN0,68.0,149.0,
UKM9,165.0,193.0,
UKM8,26.0,116.0,
UKM7,16.0,70.0,
UKM6,149.0,107.5,
UKM5,109.0,20.0,
UKL2,43.0,103.0,
UKL1,69.0,191.0,
UKK4,53.0,162.0,
UKK3,174.0,187.0,
UKK2,93.0,146.5,
UKK1,9.0,78.0,
UKJ4,91.0,131.0,
UKJ3,18.5,83.0,
UKJ2,23.0,67.0,
UKJ1,8.0,21.0,
UKI7,31.0,36.5,
UKI6,60.0,121.5,
UKI5,67.0,176.0,
UKI4,17.0,11.0,
UKI3,13.0,1.0,
UKH3,89.0,137.5,
UKH2,33.0,68.5,
UKH1,34.0,107.5,
UKG3,38.0,125.5,
UKG2,94.0,165.0,
UKG1,86.0,95.5,
UKF3,132.0,182.0,
UKF2,42.0,109.0,
UKF1,49.0,149.0,
UKE4,57.0,127.0,
UKE3,59.0,178.5,
UKE2,56.0,121.5,
UKE1,159.0,164.0,
UKD7,61.0,153.5,
UKD6,95.0,39.0,
UKD4,119.0,135.0,
UKD3,25.0,113.0,
UKD1,146.0,124.0,
UKC2,65.0,139.5,
UKC1,118.0,180.5,
TRC3,283.0,304.0,
TRC2,296.0,306.5,
TRC1,271.0,292.0,
TRB2,303.0,308.0,
TRB1,290.0,298.5,
TRA2,309.0,305.0,
TRA1,288.0,294.0,
TR90,269.0,290.5,
TR83,297.0,293.0,
TR82,307.0,289.0,
TR81,308.0,287.0,
TR72,270.0,284.5,
TR71,264.0,288.0,
TR63,295.0,295.5,
TR62,281.0,284.5,
TR61,257.0,268.0,
TR52,302.0,283.0,
TR51,145.0,238.5,
TR42,273.0,242.5,
TR41,262.0,256.5,
TR33,301.0,282.0,
TR32,287.0,279.0,
TR31,224.5,255.0,
TR22,305.0,277.0,
TR21,293.0,258.5,
TR10,148.0,220.0,
SK04,229.0,253.5,
SK03,241.0,240.5,
SK02,231.0,228.0,
SK01,24.0,66.0,
SI04,45.0,168.0,
SI03,184.0,213.0,
SE33,121.0,31.0,120.0297963
SE32,152.0,50.0,93.66067108
SE31,144.0,57.5,95.02964667
SE23,35.0,23.0,145.3895117
SE22,58.0,48.0,143.4381167
SE21,107.0,47.0,116.8132704
SE12,27.0,45.5,138.0862976
SE11,6.0,6.5,161.0557371
RS22,265.0,309.0,52.98184798
RS21,299.0,306.5,51.24190729
RS12,258.0,298.5,65.15677406
RS11,77.0,265.0,68.66846767
RO42,280.0,258.5,34.34753781
RO41,260.0,286.0,14.97671952
RO32,88.0,191.0,54.08205602
RO31,292.0,281.0,19.2941751
RO22,306.0,279.0,23.13809182
RO21,284.0,295.5,22.51965195
RO12,251.0,266.0,28.58223423
RO11,221.0,271.5,31.06475904
PT30,266.0,205.0,73.74248098
PT20,276.5,214.5,66.50465344
PT18,230.0,209.0,73.94978013
PT17,15.0,172.0,99.09780594
PT16,111.0,216.5,95.9667537
PT15,234.0,199.0,77.58996245
PT11,92.0,219.0,97.07543766
PL92,247.0,256.5,49.23662251
PL91,12.0,155.0,82.41241656
PL84,185.5,269.5,45.38735536
PL82,210.0,273.5,61.02043459
PL81,172.0,275.5,48.35777081
PL72,239.0,269.5,48.31366568
PL71,112.0,251.5,54.90716072
PL63,98.0,247.0,60.36918952
PL62,217.0,271.5,38.70142446
PL61,212.0,263.0,48.21038323
PL52,189.0,264.0,43.1738211
PL51,108.0,232.5,59.7313437
PL43,253.0,260.5,42.93040761
PL42,194.0,260.5,45.11862789
PL41,134.0,234.5,55.51228514
PL22,79.0,238.5,53.79709174
PL21,63.0,253.5,73.42143055
NL42,130.5,54.0,123.7337243
NL41,37.0,33.0,135.1503437
NL34,227.0,87.5,90.41062965
NL33,14.0,38.0,127.1986283
NL32,5.0,12.0,128.7480593
NL31,29.0,14.0,141.1755381
NL23,202.0,98.0,109.7178358
NL22,46.0,71.0,124.3775156
NL21,80.0,76.0,114.5919301
NL13,228.0,128.0,100.3561143
NL12,188.0,125.5,87.74840557
NL11,71.5,45.5,118.6764368
MT00,96.0,177.0,
MK00,245.0,302.0,
LV00,78.0,231.0,
LU00,120.0,2.0,
LT02,192.0,240.5,68.4380018
LT01,52.0,194.0,90.49683057
ITI4,55.0,95.5,77.79938315
ITI3,167.0,151.5,85.02421628
ITI2,223.0,174.0,83.29288405
ITI1,116.0,114.0,82.81300113
ITH5,100.0,80.0,93.31695161
ITH4,182.0,111.0,96.98951105
ITH3,124.0,93.0,88.92473965
ITH2,190.0,73.0,85.99173528
ITH1,235.0,41.0,71.24925572
ITG2,215.0,197.0,53.46883397
ITG1,133.0,211.0,59.15521168
ITF6,213.0,212.0,53.55776087
ITF5,279.0,195.0,65.69774934
ITF4,203.0,203.0,64.06261979
ITF3,141.0,204.0,66.23388762
ITF2,278.0,200.5,60.11555353
ITF1,216.0,172.0,73.0595592
ITC4,41.0,57.5,90.73103029
ITC3,128.0,101.5,70.84298329
ITC2,261.0,81.0,59.76108486
ITC1,135.0,116.0,83.60860053
IE06,20.0,8.0,115.7049402
IE05,39.0,3.0,116.5873856
IE04,99.0,133.0,108.9455461
HU33,219.5,267.0,54.50757574
HU32,226.0,279.0,52.01502902
HU31,243.0,273.5,53.10443244
HU23,255.0,275.5,53.3459917
HU22,246.0,232.5,55.07958544
HU21,250.0,248.5,53.43346066
HU12,237.0,262.0,81.4937499
HU11,10.0,161.0,84.39117402
HR04,106.0,244.0,61.20957681
HR03,205.0,251.5,47.10774999
FRY4,291.0,183.0,
FRY3,282.0,218.0,
FRY2,298.0,167.0,
FRY1,294.0,178.5,
FRL0,105.0,104.5,
FRK2,71.5,85.5,
FRK1,222.0,158.5,
FRJ2,70.0,104.5,
FRJ1,161.0,166.0,
FRI3,219.5,146.5,
FRI2,232.0,156.5,
FRI1,130.5,118.5,
FRH0,136.0,129.5,
FRG0,127.0,111.0,
FRF3,191.0,169.5,
FRF2,224.5,137.5,
FRF1,177.0,100.0,
FRE2,204.0,172.0,
FRE1,151.0,144.5,
FRD2,197.0,129.5,
FRD1,211.0,151.5,
FRC2,185.5,163.0,
FRC1,180.0,149.0,
FRB0,170.0,141.5,
FR10,32.0,9.0,
FI1D,54.0,89.5,
FI1C,73.0,68.5,
FI1B,1.0,13.0,
FI19,62.0,73.0,
EU28,240.0,121.5,104.714481
ES70,181.0,197.0,48.2298166
ES64,285.0,207.0,40.72539816
ES62,199.0,197.0,61.79017624
ES61,83.0,202.0,53.44071853
ES53,244.0,158.5,54.768523
ES52,103.0,191.0,72.54891197
ES51,21.0,118.5,81.23311073
ES43,249.0,210.0,45.40838946
ES42,207.0,200.5,46.79022746
ES41,114.0,180.5,54.08183472
ES30,4.0,89.5,77.50643544
ES24,157.0,143.0,67.713057
ES23,242.0,160.0,70.64909888
ES22,143.0,111.0,79.01221537
ES21,64.0,94.0,83.60689103
ES13,166.0,185.5,63.06438072
ES12,147.0,189.0,61.1121345
ES11,110.0,188.0,58.30568547
EL65,275.0,230.0,58.54366076
EL64,276.5,222.5,62.98596811
EL63,274.0,242.5,77.26398668
EL62,300.0,222.5,61.89999598
EL61,248.0,236.0,71.58468263
EL54,256.0,245.5,69.00307844
EL53,289.0,226.5,74.2656276
EL52,200.0,234.5,83.14325424
EL51,268.0,250.0,59.85968101
EL43,236.0,229.0,98.90244333
EL42,286.0,207.0,40.29112625
EL41,263.0,245.5,58.65646618
EL30,44.0,185.5,86.27697826
EE00,48.0,207.0,
DK05,158.0,33.0,116.8961142
DK04,85.0,24.0,133.3412841
DK03,123.0,25.0,105.2205593
DK02,187.0,83.0,98.14480648
DK01,11.0,4.0,158.1048262
DEG0,113.0,132.0,109.4874418
DEF0,122.0,97.0,97.78283031
DEE0,183.0,144.5,94.41717657
DED5,104.0,101.5,117.0580545
DED4,142.0,134.0,102.6397928
DED2,74.0,116.0,127.6981427
Dec-00,173.0,77.0,101.7134613
DEB3,84.0,63.0,132.501742
DEB2,209.0,106.0,102.685566
DEB1,160.0,87.5,91.85803271
DEA5,117.0,83.0,105.9554848
DEA4,162.0,57.5,110.8321649
DEA3,163.0,91.5,107.3906638
DEA2,28.0,40.0,122.9858925
DEA1,101.0,44.0,107.8659334
DE94,155.0,79.0,79.51769121
DE93,164.0,136.0,89.27310407
DE92,75.0,61.0,108.4087576
DE91,90.0,27.0,136.97692
DE80,168.0,153.5,97.05287819
DE73,193.0,65.0,95.49262301
DE72,156.0,91.5,120.5679039
DE71,40.0,16.0,128.5626953
DE60,22.0,6.5,128.1305407
DE50,125.0,19.0,114.4764148
DE40,81.0,141.5,101.2941039
DE30,3.0,61.0,152.3010361
DE27,154.0,51.0,108.8099306
DE26,150.0,49.0,114.2131737
DE25,97.0,33.0,133.5103694
DE24,201.0,64.0,112.0560888
DE23,175.0,43.0,110.2676165
DE22,195.5,52.0,91.549988
DE21,7.0,10.0,147.0501904
DE14,66.0,35.0,139.1372202
DE13,82.0,57.5,129.3265101
DE12,50.0,30.0,143.3161812
DE11,51.0,15.0,135.606853
CZ08,176.0,225.0,78.73704302
CZ07,214.0,226.5,80.1320181
CZ06,126.0,216.5,85.00890117
CZ05,179.0,224.0,88.6837504
CZ04,233.0,237.0,60.05514868
CZ03,129.0,221.0,82.43109063
CZ02,195.5,214.5,79.47599172
CZ01,2.0,61.0,103.5949477
CY00,102.0,184.0,
BG42,254.0,300.0,39.41991934
BG41,47.0,248.5,56.78980885
BG34,272.0,290.5,37.41469408
BG33,259.0,297.0,39.05264377
BG32,267.0,301.0,40.20562073
BG31,304.0,303.0,32.63770897
BE35,198.0,156.5,
BE34,218.0,175.0,
BE33,140.0,139.5,
BE32,206.0,169.5,
BE31,139.0,29.0,
BE25,138.0,54.0,
BE24,30.0,42.0,
BE23,76.0,75.0,
BE22,169.0,99.0,
BE21,87.0,22.0,
BE10,36.0,5.0,
AT34,238.0,28.0,
AT33,178.0,26.0,
AT32,171.0,17.0,
AT31,153.0,36.5,
AT22,115.0,54.0,
AT21,208.0,73.0,
AT13,18.5,18.0,
AT12,137.0,85.5,
AT11,252.0,121.5,
